Rk,Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
109,Raisel Iglesias\iglesra01,7,2015,2021,0,239,48,47,0,4,1,1,0,1,0,0,0,17,.085,.085,.149,.234,8.52,Jan 4 1990,Apr 12 2015,Isla de la Juventud,1
110,Hank Izquierdo\izquiha01,1,1967,1967,0,16,28,26,4,7,2,0,0,2,0,0,1,2,.269,.296,.346,.642,0.05,Mar 20 1931,Aug 9 1967,Matanzas Matanzas,/2H
111,Hansel Izquierdo\izquiha02,1,2002,2002,0,19,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.11,Jan 2 1977,Apr 21 2002,La Habana La Habana,/1
112,George Lauzerique\lauzege01,4,1967,1970,0,34,37,33,3,4,0,0,1,4,0,0,0,10,.121,.147,.212,.359,-0.50,Jul 22 1947,Sep 17 1967,La Habana La Habana,1
113,Raudel Lazo\lazora01,1,2015,2015,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.06,Apr 12 1989,Sep 5 2015,Pinar del Rio,/1
114,Izzy Leon\leoniz01,1,1945,1945,0,14,10,9,0,1,0,0,0,0,0,0,1,1,.111,.200,.111,.311,-0.10,Jan 4 1911,Jun 21 1945,Cruces Las Villas,/1
115,Marcelino Lopez\lopezma01,8,1963,1972,0,215,207,181,26,31,4,0,1,6,1,1,12,80,.171,.222,.210,.432,3.02,Sep 23 1943,Apr 14 1963,La Habana La Habana,1H
116,Ramon Lopez\lopezra01,1,1966,1966,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.12,May 26 1933,Aug 21 1966,Las Villas,/1H
117,Yoan López\lopezyo01,4,2018,2021,0,78,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.60,Jan 2 1993,Sep 9 2018,Nueva Gerona Isla de la Juventud,1
118,Dolf Luque\luquedo01,20,1914,1935,0,559,1192,1043,96,237,31,10,5,90,7,5,70,114,.227,.283,.291,.573,48.09,Aug 4 1890,May 20 1914,La Habana La Habana,*1/H57
119,Hector Maestri\maesthe01,2,1960,1961,0,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.09,Apr 19 1935,Sep 24 1960,La Habana La Habana,/1
120,Connie Marrero\marreco01,5,1950,1954,1,118,273,236,17,27,1,0,0,9,0,0,23,53,.114,.193,.119,.312,8.59,Apr 25 1911,Apr 21 1950,Sagua La Grande Villa Clara,1
121,Eli Marrero\marreel01,10,1997,2006,0,724,2126,1906,262,463,99,12,66,261,56,11,168,372,.243,.303,.411,.714,4.91,Nov 17 1973,Sep 3 1997,La Habana La Habana,*2H7938/D5
122,Armando Marsans\marsaar01,8,1911,1918,0,655,2550,2273,267,612,67,19,2,221,171,37,173,117,.269,.325,.318,.643,2.83,Oct 3 1887,Jul 4 1911,Matanzas Matanzas,*897H/3456
123,Leonys Martín\martile01,9,2011,2019,0,770,2792,2532,334,617,94,22,58,228,126,45,190,637,.244,.301,.367,.668,11.43,Mar 6 1988,Sep 2 2011,Villa Clara Villa Clara,*8H9/7D1
124,Hector Martinez\martihe02,2,1962,1963,0,7,17,15,2,4,0,0,1,3,0,1,1,4,.267,.353,.467,.820,0.13,May 11 1939,Sep 30 1962,Las Villas,/H8
125,Jose Martinez\martijo04,2,1969,1970,0,96,201,188,21,46,6,0,1,16,1,3,10,37,.245,.286,.293,.579,0.54,Jul 26 1942,Apr 12 1969,Cardenas Matanzas,4H/657
126,Marty Martinez\martima01,7,1962,1972,0,436,1038,945,97,230,19,11,0,57,7,8,70,107,.243,.296,.287,.583,-1.03,Aug 23 1941,May 2 1962,La Habana La Habana,6H542/731
127,Rogelio Martinez\martiro01,1,1950,1950,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.23,Nov 5 1918,Jul 13 1950,Cidra,/1
128,Tony Martinez\martito01,4,1963,1966,0,73,186,175,13,30,5,0,0,10,2,3,6,26,.171,.198,.200,.398,-1.85,Mar 18 1940,Apr 9 1963,Perico,6/H4
129,Yunesky Maya\mayayu01,3,2010,2013,0,16,18,15,0,1,0,0,0,0,0,0,0,9,.067,.067,.067,.133,-0.89,Aug 28 1981,Sep 7 2010,Pinar del Rio Pinar del Rio,/1
130,Orlando McFarlane\mcfaror01,5,1962,1968,0,124,316,292,22,70,12,0,5,20,0,0,20,93,.240,.290,.332,.622,-0.42,Jun 28 1938,Apr 23 1962,Oriente,2H/9
131,Roman Mejias\mejiaro01,9,1955,1964,0,627,1905,1768,212,449,57,12,54,202,22,12,89,238,.254,.294,.391,.686,1.16,Aug 9 1930,Apr 13 1955,Abreus,9H87
132,Minnie Mendoza\mendomi01,1,1970,1970,0,16,16,16,2,3,0,0,0,2,0,0,0,1,.188,.188,.188,.375,-0.05,Nov 16 1933,Apr 9 1970,Ceiba del Agua,/H54
133,Tony Menendez\menento01,3,1992,1994,0,23,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.32,Feb 20 1965,Jun 22 1992,La Habana La Habana,/1
134,Minnie Minoso\minosmi01,17,1949,1980,9,1835,7713,6579,1136,1963,336,83,186,1023,205,130,814,584,.298,.389,.459,.848,50.28,Nov 29 1925,Apr 19 1949,La Habana La Habana,*759H8/3D6
135,Ariel Miranda\miranar01,3,2016,2018,0,4,6,6,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,1.57,Jan 10 1989,Jul 3 2016,La Habana La Habana,1/H
136,Juan Miranda\miranju01,4,2008,2011,0,111,296,257,29,58,11,3,11,37,0,1,32,68,.226,.320,.420,.740,-0.02,Apr 25 1983,Sep 18 2008,Consolacion del Sur,3H/D
137,Willy Miranda\miranwi01,9,1951,1959,0,824,2121,1914,176,423,50,14,6,132,13,16,165,250,.221,.282,.271,.553,-0.31,May 24 1926,May 6 1951,Velasco,*6H/543
138,Yoan Moncada\moncayo01,6,2016,2021,0,404,1732,1542,222,399,84,16,57,189,25,11,170,541,.259,.335,.445,.780,8.29,May 27 1995,Sep 2 2016,Cienfuegos,45/HD
139,Aurelio Monteagudo\monteau01,7,1963,1973,0,58,10,10,0,2,0,1,0,0,0,0,0,5,.200,.200,.400,.600,-0.97,Nov 19 1943,Sep 1 1963,Caibarien,1/H
140,Rene Monteagudo\montere01,4,1938,1945,0,156,304,270,32,78,9,1,0,21,2,2,29,12,.289,.358,.330,.687,-0.93,Mar 12 1916,Sep 6 1938,La Habana La Habana,H19/7
141,Manny Montejo\montema01,1,1961,1961,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.17,Oct 16 1935,Jul 25 1961,Caibarien,/1
142,Kendrys Morales\moralke01,13,2006,2019,0,1363,5357,4856,584,1289,257,7,213,740,6,15,417,978,.265,.327,.453,.780,13.32,Jun 20 1983,May 23 2006,Fomento Sancti Spiritus,*D*3H/915
143,Adrián Morejón\morejad01,3,2019,2021,0,5,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.35,Feb 27 1999,Jul 21 2019,La Habana La Habana,/1
144,Danny Morejon\morejda01,1,1958,1958,0,12,37,26,4,5,0,0,0,1,1,0,9,2,.192,.400,.192,.592,-0.01,Jul 21 1930,Jul 11 1958,La Habana La Habana,/897H
145,Julio Moreno\morenju01,4,1950,1953,0,73,114,106,5,14,3,0,0,2,0,0,3,17,.132,.156,.160,.316,0.64,Jan 28 1921,Sep 8 1950,Guines,1
146,Cholly Naranjo\naranch01,1,1956,1956,0,17,8,7,1,1,1,0,0,1,0,0,0,2,.143,.125,.286,.411,-0.18,Nov 25 1934,Jul 8 1956,La Habana La Habana,/1H
147,Adrian Nieto\nietoad01,1,2014,2014,0,48,118,106,8,25,5,0,2,7,0,1,8,38,.236,.296,.340,.635,-0.31,Nov 12 1989,Apr 2 2014,La Habana La Habana,2/HD
148,Ray Noble\noblera01,3,1951,1953,0,107,272,243,31,53,6,1,9,40,1,0,25,41,.218,.299,.362,.661,0.16,Mar 15 1919,Apr 18 1951,Central Hatillo,2/H
149,Vladimir Núñez\nunezvl01,9,1998,2009,0,244,69,60,3,8,0,0,1,5,0,0,1,20,.133,.148,.183,.331,-0.60,Mar 15 1975,Sep 11 1998,La Habana La Habana,1
150,Tony Oliva\olivato01,15,1962,1976,8,1676,6880,6301,870,1917,329,48,220,947,86,55,448,645,.304,.353,.476,.830,43.04,Jul 20 1938,Sep 9 1962,Pinar del Rio Pinar del Rio,*9*DH8/7
151,Héctor Olivera\olivehe01,2,2015,2016,0,30,108,98,6,24,5,1,2,13,0,0,6,17,.245,.296,.378,.674,-0.34,Apr 5 1985,Sep 1 2015,Santiago de Cuba,/57H
152,Jorge Oña\onajo01,1,2020,2020,0,5,15,12,3,3,1,0,1,2,0,0,2,7,.250,.400,.583,.983,0.20,Dec 31 1996,Sep 7 2020,La Habana La Habana,/D9
153,Tony Ordenana\ordento01,1,1943,1943,0,1,4,4,0,2,0,0,0,3,0,0,0,0,.500,.500,.500,1.000,0.06,Oct 30 1918,Oct 3 1943,Guanabacoa La Habana,/6
154,Rey Ordóñez\ordonre01,9,1996,2004,0,973,3407,3115,291,767,129,17,12,287,28,24,191,339,.246,.289,.310,.600,1.22,Jan 11 1971,Apr 1 1996,La Habana La Habana,*6/H
155,Eddie Oropesa\oropeed01,4,2001,2004,0,117,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-2.64,Nov 23 1971,Apr 2 2001,Colon,1
156,Bill Ortega\ortegbi01,1,2001,2001,0,5,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,0.00,Jul 24 1975,Sep 7 2001,La Habana La Habana,/H
157,Baby Ortiz\ortizba01,1,1944,1944,0,2,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-0.39,Dec 5 1919,Sep 23 1944,Camaguey Camaguey,/1
158,Roberto Ortiz\ortizro01,6,1941,1950,0,213,718,659,67,168,18,10,8,78,4,3,43,95,.255,.310,.349,.659,-0.85,Jun 30 1915,Sep 6 1941,Camaguey Camaguey,9H/7
159,Reggie Otero\oterore01,1,1945,1945,0,14,26,23,1,9,0,0,0,5,0,1,2,2,.391,.440,.391,.831,0.04,Sep 7 1915,Sep 2 1945,La Habana La Habana,/3H
160,Johan Oviedo\oviedjo01,2,2020,2021,0,1,2,2,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-0.27,Mar 2 1998,Aug 19 2020,La Habana La Habana,/1
161,Rafael Palmeiro\palmera01,20,1986,2005,4,2831,12046,10472,1663,3020,585,38,569,1835,97,40,1353,1348,.288,.371,.515,.885,71.87,Sep 24 1964,Sep 8 1986,La Habana La Habana,*3*D7H/98
162,Emilio Palmero\palmeem01,5,1915,1928,0,47,57,48,5,10,1,0,0,2,0,0,8,5,.208,.321,.229,.551,-0.62,Jun 13 1895,Sep 21 1915,Guanabacoa La Habana,1/H
163,Camilo Pascual\pascuca02,18,1954,1971,7,542,1073,967,71,198,32,5,5,81,0,0,46,123,.205,.243,.264,.506,40.85,Jan 20 1934,Apr 15 1954,La Habana La Habana,*1/H
164,Carlos Pascual\pascuca01,1,1950,1950,0,2,5,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0.78,Mar 13 1931,Sep 24 1950,La Habana La Habana,/1
165,Carlos Paula\paulaca01,3,1954,1956,0,157,492,457,44,124,23,8,9,60,2,5,27,62,.271,.311,.416,.727,-1.68,Nov 28 1927,Sep 6 1954,La Habana La Habana,9H/7
166,Chick Pedroes\pedroch01,1,1902,1902,0,2,6,6,0,0,0,0,0,0,0,,0,2,.000,.000,.000,.000,-0.14,Oct 27 1869,Aug 21 1902,La Habana La Habana,/9
167,Brayan Pena\penabr01,12,2005,2016,0,638,1950,1807,136,468,93,2,23,164,6,7,105,214,.259,.299,.351,.650,0.17,Jan 7 1982,May 23 2005,La Habana La Habana,*2H3D/5
168,Orlando Pena\penaor01,14,1958,1975,0,407,309,264,12,36,2,0,2,22,0,0,19,127,.136,.193,.167,.360,12.89,Nov 17 1933,Aug 24 1958,Victoria de las Tunas,*1/H
169,Cionel Pérez\perezci01,4,2018,2021,0,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.59,Apr 21 1996,Jul 11 2018,La Habana La Habana,/1
170,Tony Perez HOF\perezto01,23,1964,1986,7,2777,10861,9778,1272,2732,505,79,379,1652,49,33,925,1867,.279,.341,.463,.804,53.96,May 14 1942,Jul 26 1964,Camaguey Camaguey,*3*5HD/4
171,Leo Posada\posadle01,3,1960,1962,0,155,493,426,51,109,11,7,8,58,1,0,46,105,.256,.326,.371,.697,-0.39,Apr 15 1936,Sep 21 1960,La Habana La Habana,7H9/8
172,Ariel Prieto\prietar01,6,1995,2001,0,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,3.24,Oct 22 1969,Jul 2 1995,La Habana La Habana,1
173,Yasiel Puig\puigya01,7,2013,2019,1,861,3376,3015,441,834,159,21,132,415,79,38,297,681,.277,.348,.475,.823,18.50,Dec 7 1990,Jun 3 2013,Cienfuegos Cienfuegos,*98H/7D
174,Alexei Ramírez\ramiral03,9,2008,2016,1,1371,5505,5134,601,1387,249,17,115,590,143,63,263,650,.270,.307,.392,.700,21.45,Sep 22 1981,Mar 31 2008,Pinar del Rio Pinar del Rio,*64/H8D951
175,Bobby Ramos\ramosbo01,6,1978,1984,0,103,257,232,20,44,7,1,4,17,0,0,22,38,.190,.262,.280,.542,0.08,Nov 5 1955,Sep 26 1978,Calabazar de Sagua,2/H
176,Pedro Ramos\ramospe01,15,1955,1970,1,696,770,703,76,109,9,3,15,56,2,2,22,316,.155,.182,.240,.423,21.86,Apr 28 1935,Apr 11 1955,Pinar del Rio Pinar del Rio,*1H
177,Rangel Ravelo\ravelra01,2,2019,2020,0,42,84,74,9,14,3,0,3,13,0,0,7,18,.189,.250,.351,.601,-0.42,Apr 24 1992,Jun 17 2019,La Habana La Habana,/H3D97
178,Nap Reyes\reyesna01,4,1943,1950,0,279,1006,931,90,264,35,11,13,110,5,7,44,62,.284,.326,.387,.713,1.94,Nov 24 1919,May 19 1943,Santiago de Cuba Santiago de Cuba,53/H7
179,Luis Robert\roberlu01,2,2020,2021,0,66,272,242,37,57,12,0,12,35,10,2,24,86,.236,.304,.434,.738,2.02,Aug 3 1997,Jul 24 2020,Ciego de Avila,8/H
180,Armando Roche\rochear01,1,1945,1945,0,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.06,Dec 7 1926,May 10 1945,La Habana La Habana,/1
181,Eddy Rodriguez\rodried04,1,2012,2012,0,2,7,5,1,1,0,0,1,1,0,0,2,3,.200,.429,.800,1.229,0.16,Dec 1 1985,Aug 2 2012,Villa Clara,/2
182,Freddy Rodriguez\rodrifr01,2,1958,1959,0,8,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.36,Apr 29 1924,Apr 18 1958,La Habana La Habana,/1
183,Héctor Rodríguez\rodrihe01,1,1952,1952,0,124,462,407,55,108,14,0,1,40,7,6,47,22,.265,.346,.307,.653,0.99,Jun 13 1920,Apr 15 1952,Alquizar La Habnaa,5/H
184,José Rodríguez\rodrijo01,3,1916,1918,0,58,165,145,17,24,0,3,0,18,8,,14,4,.166,.244,.207,.451,-0.72,Feb 23 1894,Oct 5 1916,La Habana La Habana,4/3H5
185,Cookie Rojas\rojasco01,16,1962,1977,5,1822,6871,6309,713,1660,254,25,54,593,74,68,396,489,.263,.306,.337,.643,9.26,Mar 6 1939,Apr 10 1962,La Habana La Habana,*4H8756/D9231
186,Minnie Rojas\rojasmi01,3,1966,1968,0,157,47,41,0,3,1,0,0,1,0,0,2,22,.073,.116,.098,.214,1.39,Nov 26 1933,May 30 1966,Remedios Villa Clara,1
187,Chico Ruiz\ruizch01,8,1964,1971,0,565,1255,1150,133,276,37,10,2,69,34,16,58,164,.240,.279,.295,.574,0.13,Dec 5 1938,Apr 13 1964,Santo Domingo,H456/3792
188,Alex Sanchez\sanchal03,5,2001,2005,0,427,1651,1527,193,452,56,21,6,111,122,58,76,233,.296,.330,.372,.702,1.12,Aug 26 1976,Jun 15 2001,La Habana La Habana,*8H/97D
189,Israel Sanchez\sanchis01,2,1988,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.31,Aug 20 1963,Jul 7 1988,Falcon Las Villas,1
190,Raul Sanchez\sanchra01,3,1952,1960,0,49,15,14,1,3,1,0,0,0,0,0,0,3,.214,.214,.286,.500,0.04,Dec 12 1930,Apr 17 1952,Marianao La Habana,1
191,Amauri Sanit\sanitam01,1,2011,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.28,Jul 4 1979,May 12 2011,La Habana La Habana,/1
192,Nelson Santovenia\santone01,7,1987,1993,0,297,972,884,77,206,42,4,22,116,4,7,59,165,.233,.281,.364,.645,1.49,Jul 27 1961,Sep 16 1987,Pinar del Rio Pinar del Rio,2H/3
193,Diego Segui\seguidi01,15,1962,1977,0,510,423,384,26,58,5,1,4,24,0,0,14,197,.151,.183,.201,.383,12.55,Aug 17 1937,Apr 12 1962,Holguin Holguin,*1/H
194,Alay Soler\soleral01,1,2006,2006,0,6,15,11,0,1,0,0,0,0,0,0,0,6,.091,.091,.091,.182,-0.55,Oct 9 1979,May 24 2006,Pinar del Rio Pinar del Rio,/1
195,Jorge Soler\solerjo01,8,2014,2021,0,520,2019,1767,236,443,99,3,95,277,10,3,206,570,.251,.335,.471,.806,3.82,Feb 25 1992,Aug 27 2014,La Habana La Habana,9D7H
196,Luis Suarez\suarelu01,1,1944,1944,0,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.04,Aug 24 1916,May 28 1944,Alto Songo,/5
197,Leo Sutherland\suthele01,2,1980,1981,0,45,108,101,15,25,3,0,0,5,6,2,4,12,.248,.274,.277,.551,-0.56,Apr 6 1958,Aug 11 1980,Santiago de Cuba Santiago de Cuba,/7H8D
198,Jose Tartabull\tartajo01,9,1962,1970,0,749,2021,1857,247,484,56,24,2,107,81,28,115,136,.261,.303,.320,.622,-0.10,Nov 27 1938,Apr 10 1962,Cienfuegos Cienfuegos,*8H79
199,Tony Taylor\tayloto02,19,1958,1976,2,2195,8501,7680,1005,2007,298,86,75,598,234,111,613,1083,.261,.321,.352,.673,23.16,Dec 19 1935,Apr 15 1958,Central Alava Matanzas,*4*5*H3/76D
200,Michael Tejera\tejermi01,5,1999,2005,0,102,57,52,5,8,0,0,1,5,0,0,1,7,.154,.185,.212,.397,0.22,Oct 18 1976,Sep 8 1999,La Habana La Habana,1/H
201,Luis Tiant\tiantlu01,19,1964,1982,3,305,570,513,36,84,14,1,5,44,1,1,13,146,.164,.185,.224,.409,66.07,Nov 23 1940,Jul 19 1964,Marianao La Habana,*1
202,Jorge Toca\tocajo01,3,1999,2001,0,25,27,27,4,7,1,0,0,5,0,0,0,11,.259,.259,.296,.556,-0.14,Jan 7 1971,Sep 12 1999,Remedios Villa Clara,/H37
203,Yasmany Tomás\tomasya01,4,2015,2019,0,309,1175,1108,131,295,60,5,48,163,7,6,61,299,.266,.306,.459,.765,-2.48,Nov 14 1990,Apr 15 2015,La Habana La Habana,97H5/3D
204,Gil Torres\torregi01,4,1940,1946,0,346,1358,1271,99,320,40,11,0,119,20,13,53,65,.252,.282,.301,.583,-0.25,Aug 23 1915,Apr 25 1940,Regla,65/4H13
205,Ricardo Torres\torreri01,3,1920,1922,0,22,39,37,9,11,1,0,0,3,0,0,2,6,.297,.333,.324,.658,-0.15,Apr 16 1891,May 18 1920,Regla La Habana,/23H
206,Oscar Tuero\tueroos01,3,1918,1920,0,59,57,51,6,11,1,0,0,6,0,0,4,10,.216,.273,.235,.508,0.47,Dec 17 1893,May 30 1918,La Habana La Habana,1/H
207,Sandy Ullrich\ullrisa01,2,1944,1945,0,31,27,25,2,7,1,0,0,0,0,0,1,7,.280,.308,.320,.628,-0.94,Jul 25 1921,May 3 1944,La Habana La Habana,1
208,Henry Urrutia\urruthe01,2,2013,2015,0,34,94,92,8,25,1,1,1,8,0,0,2,14,.272,.287,.337,.624,-0.10,Feb 13 1987,Jul 20 2013,Las Tunas Las Tunas,/DH7
209,Raúl Valdés\valdera02,5,2010,2014,0,83,18,13,1,5,2,0,0,1,0,0,0,3,.385,.385,.538,.923,0.02,Nov 27 1977,Apr 11 2010,La Habana La Habana,1
210,Rene Valdes\valdere01,1,1957,1957,0,5,5,3,1,0,0,0,0,0,0,0,2,2,.000,.400,.000,.400,-0.05,Jun 2 1929,Apr 21 1957,Guanabacoa La Habana,/1
211,Roy Valdes\valdero01,1,1944,1944,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.00,Feb 23 1920,May 3 1944,La Habana La Habana,/H
212,Sandy Valdespino\valdesa01,7,1965,1971,0,382,839,765,96,176,23,3,7,67,14,10,57,129,.230,.286,.295,.581,-1.28,Jan 24 1939,Apr 12 1965,San Jose de las Lajas Mayabeque,7H/9
213,Jose Valdivielso\valdijo01,5,1955,1961,0,401,1081,971,89,213,26,8,9,85,6,6,79,132,.219,.282,.290,.572,-3.33,May 22 1934,Jun 21 1955,Matanzas Matanzas,*6/H45
214,Zoilo Versalles\versazo01,12,1959,1971,2,1400,5579,5141,650,1246,230,63,95,471,97,48,318,810,.242,.290,.367,.657,12.60,Dec 18 1939,Aug 1 1959,La Habana La Habana,*654H
215,Dayán Viciedo\vicieda01,5,2010,2014,0,483,1798,1675,200,425,73,7,66,211,2,3,95,388,.254,.298,.424,.722,1.14,Mar 10 1989,Jun 20 2010,Remedios Villa Clara,79D/H53
216,Adrián Zabala\zabalad01,2,1945,1949,0,26,29,26,5,4,0,0,0,1,0,0,3,4,.154,.241,.154,.395,-0.22,Aug 26 1916,Aug 11 1945,San Antonio de los Banos Artemisa,/1
217,Oscar Zamora\zamoros01,4,1974,1978,0,158,35,28,0,3,0,0,0,1,0,0,0,5,.107,.107,.107,.214,1.43,Sep 23 1944,Jun 18 1974,Camaguey Camaguey,1
218,Jose Zardon\zardojo01,1,1945,1945,0,54,142,131,13,38,5,3,0,13,3,1,7,11,.290,.326,.374,.700,0.37,May 20 1923,Apr 18 1945,La Habana La Habana,/87H9
,Totals,1165,1871,2021,99,70415,235624,212561,26253,55583,9391,1425,5197,25098,3882,1943,17254,33641,.261,.320,.392,.712,1085.78,,,,